#{"t_start": 1665634255.4368913, "env_id": null}
r,l,t
290.849263,1382,1.308365
292.424742,1526,2.697975
299.985428,1268,3.854863
297.099199,1343,5.112096
296.533611,1272,6.276474
87.952953,688,6.90759
239.066173,1209,8.016062
292.523797,1651,9.512441
296.36882,1383,10.770566
307.918037,1103,11.794287
290.016965,1600,1610.426208
