#{"t_start": 1665657962.7080138, "env_id": null}
r,l,t
85.034515,384,424.363429
28.082674,185,426.223482
87.821985,433,430.842554
45.402315,243,434.038515
32.826464,228,436.424239
50.938452,244,438.929318
28.86766,168,440.678668
186.075792,706,448.082146
77.703661,310,451.281807
30.308654,182,453.166817
138.483519,502,458.390377
44.64884,202,460.500501
53.31436,244,463.116231
40.697692,215,465.363991
69.053816,302,468.591405
124.707433,447,473.367573
213.492647,764,481.427905
85.994242,358,485.200083
56.447598,289,488.241044
291.815347,1074,499.611923
156.075186,536,505.380651
216.690714,815,514.066125
-12.297416,795,522.265495
-9.44172,87,523.169928
92.45182,1409,538.281308
2.782944,119,539.815454
135.997642,624,546.397229
168.987362,587,552.58082
296.305708,1053,563.644412
311.190934,928,573.570568
311.679717,900,583.230705
87.98443,315,586.542223
204.399747,658,593.518569
72.337143,270,596.309366
193.416495,604,602.698085
71.630859,297,605.832313
156.969403,509,611.181691
64.154025,260,613.871568
291.252858,908,623.583177
313.025786,930,633.519401
232.662578,689,640.908611
179.871424,561,647.552756
312.160887,912,657.21099
207.509041,627,663.907888
75.194214,279,666.867579
61.840052,274,669.766174
312.610084,922,679.612678
89.629651,328,683.018556
309.255009,942,693.268443
310.749612,942,703.501154
132.770749,461,708.417831
161.63542,503,713.835041
178.686577,567,719.910187
92.913817,354,723.67325
311.15857,967,733.903872
149.554125,476,739.018007
313.230747,889,748.63824
28.870793,171,750.393083
310.079127,935,761.133108
313.500638,877,770.520735
150.784491,479,775.526219
313.960944,870,784.828998
312.701737,885,794.142675
312.454268,892,803.600048
227.035889,719,811.089588
19.585852,140,812.527555
312.890689,892,821.974913
313.155546,896,831.442892
313.042069,908,841.106184
311.372549,942,851.000453
315.293777,853,860.962781
178.941731,554,866.893147
312.878125,890,876.481158
314.992673,840,885.489892
314.32284,857,894.580603
312.128395,877,903.951758
211.080507,619,910.61211
210.133028,670,917.73719
35.867931,176,919.582678
314.370194,853,928.722154
313.793793,883,938.238139
315.594845,867,947.627368
197.925111,576,953.738351
280.495496,840,962.689828
314.032058,891,972.983652
313.843066,878,982.428426
108.725621,342,986.032992
111.266796,362,989.847296
85.335557,295,993.005239
120.05309,378,996.970009
37.861284,173,998.769055
114.49901,411,1003.039383
25.791122,163,1004.700897
179.857671,521,1010.196375
313.661822,845,1019.162942
312.689106,916,1028.659938
316.156968,845,1037.645607
158.877122,533,1043.238424
314.042267,839,1052.079451
314.938477,863,1061.280578
315.411446,838,1070.168939
314.955986,870,1080.1188
138.097018,455,1084.884779
315.588584,855,1094.093505
311.238035,906,1103.741226
314.177985,886,1113.321593
314.161826,857,1122.454907
245.375416,694,1129.957771
315.054713,864,1139.219257
314.936835,845,1148.298236
314.590375,851,1157.404401
227.521478,666,1164.475856
316.538096,852,1173.415673
315.21383,846,1183.13989
315.009414,850,1192.126891
316.37764,845,1201.06199
315.937439,838,1209.781307
315.008917,835,1218.646014
317.15385,807,1227.150874
315.281784,828,1235.75734
315.821696,822,1244.540472
309.477611,937,1253.593755
314.472969,920,1262.488976
314.737038,876,1271.003831
152.133454,464,1275.527133
316.047874,852,1284.205452
311.755335,858,1292.713928
314.513275,919,1301.543969
315.170363,831,1309.71983
313.920439,884,1318.214272
313.699035,909,1326.97417
308.944663,923,1335.833308
316.250131,818,1343.74593
188.416496,538,1348.933961
215.97504,609,1354.825655
314.069162,847,1363.138807
311.898887,932,1372.147354
313.920528,874,1380.86047
73.894623,265,1383.943187
314.201052,903,1392.614951
145.482995,432,1396.802112
193.135182,611,1402.63175
316.167222,853,1410.818542
307.914017,973,1419.901068
116.879624,374,1423.472844
303.650672,829,1431.484281
301.119821,913,1440.231998
316.706662,817,1448.168052
